Models,AUC,Smell
N,0.959287531806616,ARC-DC_EM
L,0.973282442748092,ARC-DC_EM
F,0.895674300254453,ARC-DC_EM
N,0.961038961038961,ARC-DC_EM
L,0.977272727272727,ARC-DC_EM
F,0.957792207792208,ARC-DC_EM
N,0.751111111111111,ARC-LO_EM
L,0.776,ARC-LO_EM
F,0.762666666666667,ARC-LO_EM
N,0.801209372637945,ARC-LO_EM
L,0.767195767195768,ARC-LO_EM
F,0.780045351473923,ARC-LO_EM
N,0.547297297297297,ARC-CO_EM
L,0.932432432432432,ARC-CO_EM
F,0.918918918918919,ARC-CO_EM
N,0.644880174291939,ARC-CO_EM
L,0.662309368191721,ARC-CO_EM
F,0.751633986928105,ARC-CO_EM
N,0.421052631578947,ARC-CO_EM
L,0.12781954887218,ARC-CO_EM
F,0.676691729323308,ARC-CO_EM
N,0.952702702702703,ARC-DC_EM
L,0.956081081081081,ARC-DC_EM
F,0.966216216216216,ARC-DC_EM
N,0.775845864661655,ARC-LO_EM
L,0.771146616541354,ARC-LO_EM
F,0.678571428571429,ARC-LO_EM
