Models,Spearman,Recovery
F,0.48313331679515,ARC
F,0.740361877818968,ARC
F,0.773911386985212,ARC
F,0.776716260705018,ARC
F,0.798238744311472,ARC
F,0.801645533845424,ARC
F,0.812627351390361,ARC
F,0.830194914983463,ARC
F,0.860717123315581,ARC
F,0.889461360628058,ARC
F,0.919963830081927,ARC
F,0.977684589843106,ARC
L,0.356257596801565,ARC
L,0.364757848258824,ARC
L,0.420191358398552,ARC
L,0.440235275372029,ARC
L,0.451894023414933,ARC
L,0.476320647782131,ARC
L,0.519610710908128,ARC
L,0.548965721028093,ARC
N,0.489878403004592,ARC
N,0.68781291260345,ARC
N,0.700894843810687,ARC
N,0.708379023492683,ARC
N,0.743292529828632,ARC
N,0.750143196692962,ARC
N,0.755165746311074,ARC
N,0.821840741810226,ARC
N,0.845455665529563,ARC
N,0.85174100239024,ARC
N,0.873524910974651,ARC
N,0.919218513490306,ARC
F,0.615995115995116,Packages
F,0.743308540183323,Packages
F,0.769362295395573,Packages
F,0.810924758240389,Packages
F,0.856608814120695,Packages
F,0.893764699014885,Packages
F,0.911728405965206,Packages
F,0.914686284525847,Packages
F,0.952728013143659,Packages
F,0.960550519815882,Packages
F,0.966358617260934,Packages
F,0.973096735317952,Packages
L,0.648315960920003,Packages
L,0.718700626985525,Packages
L,0.720365085496484,Packages
L,0.721473745125265,Packages
L,0.723481856393616,Packages
L,0.725943248209334,Packages
L,0.739456803564447,Packages
L,0.750120575417231,Packages
L,0.770503045112476,Packages
L,0.818601482300889,Packages
N,0.550671550671551,Packages
N,0.757736376265151,Packages
N,0.82571476811441,Packages
N,0.845775637371735,Packages
N,0.856706125748057,Packages
N,0.857299976105402,Packages
N,0.861375296708778,Packages
N,0.887000134217131,Packages
N,0.905111998183147,Packages
N,0.930598908469046,Packages
N,0.934565326963024,Packages
